Game,Agent 1,Agent 2,Agent 1 Wins,Agent 2 Wins,Draws,Avg Game Time (s)
Tic-Tac-Toe,AlphaBeta,MCTS(n=30),3,0,0,0.2385
Tic-Tac-Toe,AlphaBeta,Random,3,0,0,0.1813
Tic-Tac-Toe,MCTS(n=30),Random,3,0,0,0.0043
Connect Four,AlphaBeta(d=4),MCTS(n=30),3,0,0,0.1324
Connect Four,AlphaBeta(d=4),Random,3,0,0,0.0874
Connect Four,MCTS(n=30),Random,2,1,0,0.0892
Crazy Card Game,Obssa Heuristic,MCTS(n=30),1,1,1,2.4342
Crazy Card Game,Obssa Heuristic,Random,3,0,0,0.0034
Crazy Card Game,MCTS(n=30),Random,2,0,1,3.6563
