Label,Run#,Success,Path Cost,Nodes Expanded,Nodes Generated,Runtime (s),Max Frontier,Timestamp
Simulated Annealing / 8-Queens,26,True,27,267,1238,0.025862,1,2026-08-14T18:06:04+00:00
Simulated Annealing / 8-Queens,27,True,28,204,1238,0.024782,1,2026-08-14T18:06:05+00:00
Simulated Annealing / 8-Queens,28,True,28,281,1238,0.025035,1,2026-08-14T18:06:05+00:00
Simulated Annealing / 8-Queens,29,True,28,213,1238,0.023987,1,2026-08-14T18:06:06+00:00
Simulated Annealing / 8-Queens,30,True,28,247,1238,0.025608,1,2026-08-14T18:06:06+00:00
Local Beam (k=5) / 8-Queens,1,True,27,20,1086,0.016682,1,2026-08-14T18:06:07+00:00
Local Beam (k=5) / 8-Queens,2,True,28,20,1047,0.014429,1,2026-08-14T18:06:07+00:00
Local Beam (k=5) / 8-Queens,3,True,26,10,543,0.011802,1,2026-08-14T18:06:08+00:00
Local Beam (k=5) / 8-Queens,4,True,28,30,1635,0.020473,1,2026-08-14T18:06:08+00:00
Local Beam (k=5) / 8-Queens,5,True,27,20,1097,0.015332,1,2026-08-14T18:06:09+00:00
Local Beam (k=5) / 8-Queens,6,True,27,15,799,0.011399,1,2026-08-14T18:06:09+00:00
Local Beam (k=5) / 8-Queens,7,True,28,15,792,0.009101,1,2026-08-14T18:06:09+00:00
Local Beam (k=5) / 8-Queens,8,True,28,20,1072,0.016738,1,2026-08-14T18:06:10+00:00
Local Beam (k=5) / 8-Queens,9,True,27,15,815,0.023661,1,2026-08-14T18:06:10+00:00
Local Beam (k=5) / 8-Queens,10,True,27,25,1364,0.017973,1,2026-08-14T18:06:11+00:00
Local Beam (k=5) / 8-Queens,11,True,28,15,798,0.013868,1,2026-08-14T18:06:11+00:00
Local Beam (k=5) / 8-Queens,12,True,27,20,1060,0.01582,1,2026-08-14T18:06:11+00:00
Local Beam (k=5) / 8-Queens,13,True,28,20,1082,0.011692,1,2026-08-14T18:06:12+00:00
Local Beam (k=5) / 8-Queens,14,True,26,5,280,0.004756,1,2026-08-14T18:06:12+00:00
Local Beam (k=5) / 8-Queens,15,True,26,10,538,0.006488,1,2026-08-14T18:06:12+00:00
Local Beam (k=5) / 8-Queens,16,True,26,10,542,0.010451,1,2026-08-14T18:06:13+00:00
Local Beam (k=5) / 8-Queens,17,True,28,20,1084,0.011115,1,2026-08-14T18:06:13+00:00
Local Beam (k=5) / 8-Queens,18,True,28,25,1358,0.01798,1,2026-08-14T18:06:14+00:00
Local Beam (k=5) / 8-Queens,19,True,27,15,823,0.011483,1,2026-08-14T18:06:14+00:00
Local Beam (k=5) / 8-Queens,20,True,28,20,1072,0.015673,1,2026-08-14T18:06:14+00:00
Local Beam (k=5) / 8-Queens,21,True,28,15,793,0.016741,1,2026-08-14T18:06:15+00:00
Local Beam (k=5) / 8-Queens,22,True,28,25,1354,0.020515,1,2026-08-14T18:06:15+00:00
Local Beam (k=5) / 8-Queens,23,True,27,20,1083,0.015266,1,2026-08-14T18:06:16+00:00
Local Beam (k=5) / 8-Queens,24,True,27,15,810,0.011709,1,2026-08-14T18:06:16+00:00
Local Beam (k=5) / 8-Queens,25,True,27,15,821,0.012941,1,2026-08-14T18:06:17+00:00
Local Beam (k=5) / 8-Queens,26,True,27,15,802,0.018128,1,2026-08-14T18:06:18+00:00
Local Beam (k=5) / 8-Queens,27,True,28,25,1362,0.024556,1,2026-08-14T18:06:18+00:00
Local Beam (k=5) / 8-Queens,28,True,28,25,1337,0.019357,1,2026-08-14T18:06:19+00:00
Local Beam (k=5) / 8-Queens,29,True,27,10,543,0.016309,1,2026-08-14T18:06:19+00:00
Local Beam (k=5) / 8-Queens,30,True,28,25,1350,0.033765,1,2026-08-14T18:06:20+00:00
Genetic Algorithm / 8-Queens,1,True,28,14400,14701,0.329692,1,2026-08-14T18:06:21+00:00
Genetic Algorithm / 8-Queens,2,True,27,14400,14701,0.412147,1,2026-08-14T18:06:22+00:00
Genetic Algorithm / 8-Queens,3,True,28,14400,14701,0.452706,1,2026-08-14T18:06:23+00:00
Genetic Algorithm / 8-Queens,4,True,27,14400,14701,0.399218,1,2026-08-14T18:06:24+00:00
Genetic Algorithm / 8-Queens,5,True,28,14400,14701,0.342761,1,2026-08-14T18:06:25+00:00
Genetic Algorithm / 8-Queens,6,True,28,14400,14701,0.443581,1,2026-08-14T18:06:26+00:00
Genetic Algorithm / 8-Queens,7,True,27,14400,14701,0.361621,1,2026-08-14T18:06:26+00:00
Genetic Algorithm / 8-Queens,8,True,27,14400,14701,0.428907,1,2026-08-14T18:06:27+00:00
Genetic Algorithm / 8-Queens,9,True,28,14400,14701,0.361193,1,2026-08-14T18:06:28+00:00
Genetic Algorithm / 8-Queens,10,True,27,14400,14701,0.4913,1,2026-08-14T18:06:29+00:00
Genetic Algorithm / 8-Queens,11,True,28,14400,14701,0.328217,1,2026-08-14T18:06:30+00:00
Genetic Algorithm / 8-Queens,12,True,28,14400,14701,0.32937,1,2026-08-14T18:06:30+00:00
Genetic Algorithm / 8-Queens,13,True,28,14400,14701,0.391763,1,2026-08-14T18:06:31+00:00
Genetic Algorithm / 8-Queens,14,True,28,14400,14701,0.404022,1,2026-08-14T18:06:32+00:00
Genetic Algorithm / 8-Queens,15,True,28,14400,14701,0.371703,1,2026-08-14T18:06:33+00:00
Genetic Algorithm / 8-Queens,16,True,27,14400,14701,0.336847,1,2026-08-14T18:06:34+00:00
Genetic Algorithm / 8-Queens,17,True,28,14400,14701,0.414346,1,2026-08-14T18:06:34+00:00
Genetic Algorithm / 8-Queens,18,True,28,14400,14701,0.404051,1,2026-08-14T18:06:35+00:00
Genetic Algorithm / 8-Queens,19,True,27,14400,14701,0.307205,1,2026-08-14T18:06:36+00:00
Genetic Algorithm / 8-Queens,20,True,27,14400,14701,0.27076,1,2026-08-14T18:06:37+00:00
Genetic Algorithm / 8-Queens,21,True,27,14400,14701,0.313573,1,2026-08-14T18:06:37+00:00
Genetic Algorithm / 8-Queens,22,True,28,14400,14701,0.319918,1,2026-08-14T18:06:38+00:00
Genetic Algorithm / 8-Queens,23,True,28,14400,14701,0.358684,1,2026-08-14T18:06:39+00:00
Genetic Algorithm / 8-Queens,24,True,27,14400,14701,0.444473,1,2026-08-14T18:06:40+00:00
Genetic Algorithm / 8-Queens,25,True,28,14400,14701,0.360279,1,2026-08-14T18:06:40+00:00
Genetic Algorithm / 8-Queens,26,True,27,14400,14701,0.296213,1,2026-08-14T18:06:41+00:00
Genetic Algorithm / 8-Queens,27,True,27,14400,14701,0.367506,1,2026-08-14T18:06:42+00:00
Genetic Algorithm / 8-Queens,28,True,28,14400,14701,0.341574,1,2026-08-14T18:06:42+00:00
Genetic Algorithm / 8-Queens,29,True,27,14400,14701,0.399009,1,2026-08-14T18:06:43+00:00
Genetic Algorithm / 8-Queens,30,True,27,14400,14701,0.486386,1,2026-08-14T18:06:44+00:00
