Label,Success,Path Cost,Nodes Expanded,Nodes Generated,Runtime (s),Runtime Std,Max Frontier,Runs
DFS / 8pzl easy,True,2,3,4,0.000165,3e-05,3,3
BFS / 8pzl easy,True,2,7,13,0.000172,2.1e-05,8,3
UCS / 8pzl easy,False,0,0,0,10.0,0.0,0,1
IDDFS / 8pzl easy,True,2,3,4,0.000188,3e-06,3,3
Bidir-Search / 8pzl easy,True,0.0,5,8,0.000242,2.8e-05,6,3
GBFS / 8pzl easy,True,2,3,5,0.000322,4.8e-05,4,3
A* / 8pzl easy,True,2,3,4,0.000242,2.1e-05,3,3
IDA* / 8pzl easy,True,2,2,3,0.000299,6.9e-05,3,3
RBFS / 8pzl easy,True,2.0,2,6,0.000343,6e-05,3,3
SMA*(1000) / 8pzl easy,True,2.0,4,5,0.000529,0.000188,4,3
Bidir-A* / 8pzl easy,True,2.0,2,4,0.000439,0.000116,4,3
IGBFS / 8pzl easy,True,2,3,4,0.000524,9.1e-05,4,3
DFS / 8pzl medium,False,0,0,0,4.337005,0.0,0,3
BFS / 8pzl medium,True,10,664,1051,0.010548,0.000802,389,3
UCS / 8pzl medium,False,0,0,0,5.963819,0.0,0,3
IDDFS / 8pzl medium,True,10,127,205,0.001705,0.000383,42,3
Bidir-Search / 8pzl medium,True,0.0,92,156,0.001266,0.000324,66,3
GBFS / 8pzl medium,True,10,11,19,0.000751,0.000177,10,3
A* / 8pzl medium,True,10,11,18,0.000902,0.000111,9,3
IDA* / 8pzl medium,True,10,10,12,0.000914,3.5e-05,12,3
RBFS / 8pzl medium,True,10.0,10,28,0.001015,4.7e-05,4,3
SMA*(1000) / 8pzl medium,True,10.0,15,16,0.000919,0.000252,11,3
Bidir-A* / 8pzl medium,True,10.0,36,58,0.002852,6.3e-05,24,3
IGBFS / 8pzl medium,False,0,0,0,10.0,0.0,0,1
DFS / 8pzl hard,False,0,0,0,1.844731,0.0,0,3
BFS / 8pzl hard,True,14,3505,5617,0.048298,0.005618,2114,3
UCS / 8pzl hard,False,0,0,0,4.449501,0.0,0,3
IDDFS / 8pzl hard,True,20,19955,30234,0.281563,0.017797,368,3
Bidir-Search / 8pzl hard,True,0.0,217,372,0.002315,0.000879,158,3
GBFS / 8pzl hard,True,14,16,30,0.001135,0.00034,16,3
A* / 8pzl hard,True,14,16,29,0.000959,0.00027,15,3
IDA* / 8pzl hard,True,14,15,16,0.001265,0.000149,15,3
RBFS / 8pzl hard,True,14.0,15,44,0.000819,7.6e-05,4,3
SMA*(1000) / 8pzl hard,True,14.0,22,23,0.001011,0.000248,17,3
Bidir-A* / 8pzl hard,True,14.0,104,175,0.007568,0.000314,73,3
IGBFS / 8pzl hard,False,0,0,0,2.349123,0.0,0,3
